Id,feat1,feat2,feat3,feat4,feat5,feat6,feat7,feat8,feat9,feat10
100,1,1,0,0,1,1,0,0,0,0
101,1,0,1,1,0,0,1,0,1,1
102,1,1,1,0,1,1,1,1,0,0
103,0,1,0,1,1,1,0,1,0,0
104,1,1,1,1,0,0,1,1,1,0
105,0,1,0,1,1,0,1,0,0,0
106,1,0,1,1,0,0,0,0,0,0
107,1,0,0,1,0,0,1,1,0,1
108,0,0,0,1,0,0,0,0,0,1
109,0,0,0,1,0,1,1,1,1,0
110,0,1,1,1,1,1,1,0,0,1
111,0,1,1,0,0,1,0,1,1,1
112,1,1,0,0,0,0,0,0,0,0
113,0,0,1,0,1,1,1,0,1,1
114,1,0,0,1,0,0,1,0,1,0
115,0,1,0,1,1,1,1,1,1,1
116,0,1,1,1,1,0,1,1,1,1
117,0,0,0,0,1,0,0,0,0,0
118,1,1,1,0,0,0,1,0,0,1
119,0,0,0,0,0,0,0,0,0,1
120,0,0,1,0,0,0,1,0,0,1
121,1,1,1,1,0,0,0,1,0,0
122,0,0,0,1,0,1,1,1,1,0
123,1,0,1,0,0,0,0,0,1,0
124,1,0,1,1,0,1,0,0,1,1
125,1,1,0,1,1,1,0,0,1,1
126,1,0,1,1,0,1,1,1,1,1
127,1,0,0,1,0,1,1,1,1,0
128,0,1,1,1,1,1,0,0,0,1
129,1,0,1,1,1,1,1,1,0,1
130,1,0,1,0,1,1,0,0,1,0
131,1,1,0,0,0,0,0,1,1,0
132,0,1,1,0,1,0,0,1,0,0
133,1,1,1,1,0,0,1,1,0,0
134,0,1,0,0,1,0,1,0,1,1
135,1,0,0,1,1,0,1,0,1,1
136,1,0,0,1,0,0,0,1,1,0
137,1,1,1,1,0,0,1,0,1,0
138,0,0,1,0,1,1,0,1,1,1
139,1,0,0,0,1,1,1,0,1,0
140,0,0,0,0,1,0,1,0,0,0
141,1,1,1,0,0,1,0,1,1,0
142,1,1,0,0,1,0,1,1,1,1
143,1,0,1,1,1,1,0,1,1,1
144,1,1,1,1,1,0,1,0,0,0
145,1,1,0,1,0,1,1,0,1,0
146,0,1,1,1,1,1,1,0,1,1
147,0,0,0,0,1,1,0,0,0,1
148,1,1,1,1,1,1,0,0,1,1
149,1,0,1,1,0,0,1,0,1,0
150,1,0,1,0,0,0,0,1,1,1
151,1,1,0,0,0,1,0,1,1,0
152,0,1,1,0,0,0,1,0,1,0
153,1,0,1,1,1,0,0,0,1,0
154,1,0,1,0,1,0,1,1,0,0
155,1,0,1,1,1,0,1,0,1,0
156,0,1,0,1,1,1,0,0,1,1
157,0,0,0,1,1,0,1,0,0,1
158,1,1,0,1,0,1,1,0,0,1
159,0,0,1,1,0,1,1,1,0,0
160,1,1,0,0,1,1,1,1,1,1
161,0,1,0,0,1,1,0,1,1,1
162,1,0,0,0,0,0,0,0,1,0
163,0,0,0,0,0,0,1,0,1,1
164,0,1,1,0,1,0,1,1,1,1
165,0,0,1,1,1,1,0,0,0,1
166,1,0,0,1,1,0,1,1,1,1
167,0,1,0,1,1,0,1,0,0,0
168,1,0,0,1,0,1,1,1,0,0
169,1,0,0,1,0,0,0,0,0,1
170,1,1,0,0,1,1,1,1,1,1
171,1,1,0,0,1,0,0,0,0,0
172,0,0,1,0,0,1,0,0,1,1
173,1,1,0,0,1,1,0,0,1,0
174,0,1,0,0,1,0,0,1,1,0
175,1,1,0,0,0,1,0,0,1,1
176,1,1,0,1,1,1,0,1,1,0
177,0,1,0,0,1,0,1,1,0,1
178,0,1,1,1,0,1,1,1,0,0
179,0,0,0,1,1,1,0,0,1,1
180,0,0,0,1,1,1,1,1,1,1
181,0,0,0,0,1,1,1,1,1,1
182,0,0,1,0,0,0,0,1,1,0
183,1,1,0,1,0,1,1,0,1,0
184,0,0,1,1,0,1,1,0,1,0
185,0,0,1,0,1,1,0,0,1,1
186,0,1,1,0,0,1,1,1,0,1
187,1,0,0,1,1,1,0,0,0,1
188,0,0,1,1,1,0,1,0,0,0
189,0,0,1,0,0,0,0,1,0,1
190,0,1,0,0,1,1,1,1,1,1
191,0,1,0,1,1,1,1,0,0,0
192,0,1,1,1,0,1,1,0,1,0
193,0,1,0,0,1,1,0,0,0,1
194,0,1,1,1,1,0,1,1,1,0
195,0,1,1,0,1,1,0,0,0,1
196,1,1,0,0,0,1,1,0,1,1
197,1,1,0,0,1,1,0,1,1,1
198,1,0,1,1,1,0,0,0,0,1
199,1,1,1,0,0,1,0,0,0,1
200,1,0,1,0,0,0,1,0,1,1
201,1,1,1,1,0,0,0,1,0,0
202,1,1,1,0,1,0,0,1,0,1
203,1,0,1,0,0,1,0,1,1,1
204,0,0,1,0,0,1,0,1,0,1
205,1,0,1,1,1,0,0,1,1,0
206,0,1,0,1,0,0,1,1,1,1
207,0,0,0,0,1,0,0,1,1,1
208,1,1,1,0,1,0,0,1,1,1
209,1,1,0,1,1,1,0,1,0,1
210,1,0,1,0,0,1,0,0,1,1
211,1,1,0,1,1,1,0,0,0,0
212,0,0,0,1,1,0,1,0,1,0
213,1,0,1,1,1,1,0,1,0,0
214,1,1,0,1,1,1,1,0,0,0
215,1,0,1,0,0,1,0,0,1,1
216,0,1,0,0,0,1,1,0,0,1
217,0,1,0,0,1,1,0,1,1,1
218,0,1,1,0,1,0,1,0,0,1
219,1,0,0,0,1,1,1,1,1,1
220,1,0,1,1,1,1,0,0,1,0
221,0,0,0,1,0,0,1,0,1,1
222,1,0,0,1,1,0,0,0,0,1
223,1,0,0,1,0,1,1,0,1,1
224,0,0,1,0,0,0,0,1,1,0
225,0,0,0,1,1,0,1,0,1,0
226,1,1,0,1,1,0,1,1,0,0
227,0,1,1,1,1,0,1,0,1,0
228,1,1,0,0,1,1,1,1,0,0
229,1,1,0,1,1,1,0,0,0,0
230,0,1,0,0,1,1,0,1,1,0
231,1,1,1,0,0,1,1,1,0,1
232,1,0,0,1,1,1,1,1,0,1
233,0,1,0,1,0,1,0,0,0,0
234,1,1,0,0,1,0,0,0,0,0
235,1,0,1,1,0,0,0,0,0,0
236,1,0,0,0,0,0,1,1,0,1
237,0,0,0,0,1,1,1,1,0,0
238,1,1,1,1,0,1,0,1,0,1
239,0,1,1,0,1,0,1,0,1,1
240,0,1,0,1,0,0,0,0,1,0
241,1,0,1,1,1,1,0,0,0,0
242,1,1,1,0,1,1,1,0,1,1
243,1,0,0,1,1,1,0,0,1,1
244,0,1,0,1,1,1,0,0,1,0
245,1,0,1,1,1,1,0,0,1,0
246,0,1,1,1,1,1,0,1,1,1
247,0,0,0,1,0,1,0,1,0,1
248,0,0,0,0,1,0,1,0,1,1
249,1,0,0,0,1,1,1,0,1,0
250,0,0,0,1,1,0,1,0,0,1
251,1,1,1,1,0,0,1,0,0,1
252,0,0,1,1,0,1,1,0,1,1
253,1,0,0,0,0,0,1,1,1,1
254,0,1,0,1,1,1,1,1,1,0
255,0,0,1,1,1,0,1,0,1,1
256,1,0,1,1,1,0,0,1,0,1
257,0,1,1,0,0,0,0,1,1,0
258,0,0,0,1,0,0,1,0,0,0
259,0,0,0,0,0,0,0,1,0,1
260,0,0,1,0,0,1,1,1,0,0
261,0,0,0,0,1,1,1,1,0,1
262,0,0,0,0,1,1,1,0,1,1
263,1,0,1,0,1,1,1,0,0,0
264,1,0,1,0,1,0,0,0,0,1
265,0,1,1,0,1,0,0,1,1,1
266,0,1,1,1,0,0,0,1,0,0
267,0,1,0,0,0,0,1,0,0,1
268,0,0,0,0,1,0,1,1,0,1
269,0,1,0,0,0,0,0,1,0,1
270,0,1,0,1,1,1,0,1,0,0
271,0,0,1,1,0,0,0,0,1,1
272,0,0,1,0,0,0,1,1,0,0
273,0,1,0,1,1,1,0,0,1,1
274,1,0,0,1,1,1,1,1,0,1
275,1,0,1,0,1,1,0,0,0,1
276,0,0,1,1,1,0,1,1,0,0
277,1,1,0,1,1,0,1,1,0,0
278,1,0,1,1,1,0,1,0,0,0
279,0,0,1,0,0,1,0,0,1,0
280,1,0,1,1,0,0,0,1,1,0
281,1,1,0,1,1,0,0,0,1,1
282,0,1,0,1,0,1,0,1,1,1
283,1,1,0,0,0,0,1,1,0,1
284,0,1,1,1,1,1,0,1,1,0
285,0,0,0,0,0,1,0,0,0,1
286,1,0,0,1,1,1,0,1,1,1
287,0,1,0,0,0,0,0,1,1,1
288,0,1,0,0,0,1,1,0,1,1
289,0,0,1,0,0,1,0,0,1,1
290,0,1,1,1,0,0,1,1,1,1
291,1,1,1,1,0,0,1,1,1,1
292,1,0,1,1,1,0,1,0,1,1
293,0,0,0,0,1,0,1,1,1,1
294,0,0,1,0,0,0,0,0,1,1
295,1,1,0,0,0,0,1,0,1,1
296,0,0,1,0,0,0,1,0,1,1
297,1,0,1,0,1,0,1,0,1,1
298,0,0,1,1,0,0,1,1,1,0
299,0,0,1,0,1,0,0,1,0,0
300,0,0,0,0,0,1,1,1,0,1
301,1,1,0,0,0,0,0,0,0,0
302,0,0,1,0,0,1,1,1,0,0
303,0,0,1,0,1,1,0,1,1,1
304,1,0,0,0,0,1,1,1,1,0
305,1,1,0,1,1,0,0,0,1,0
306,0,1,0,1,0,0,1,1,0,1
307,1,1,1,1,1,0,0,1,0,1
308,1,1,1,1,0,1,0,1,0,0
309,0,0,0,0,1,0,0,1,0,0
310,0,0,1,1,0,0,0,1,0,0
311,0,1,1,1,0,0,0,0,0,1
312,0,1,1,0,0,1,0,0,1,1
313,0,0,1,1,0,0,1,1,1,1
314,1,0,1,0,0,1,1,1,0,1
315,0,1,0,0,0,1,0,0,0,1
316,1,0,1,0,1,1,0,1,0,0
317,0,1,0,1,1,1,1,1,0,0
318,0,1,0,1,0,0,1,0,0,1
319,1,1,0,0,1,0,0,0,1,0
320,1,1,1,1,1,1,1,0,1,0
321,1,1,0,0,0,1,1,0,0,0
322,1,0,1,1,0,0,0,0,1,1
323,0,0,1,0,0,0,0,1,0,0
324,1,0,1,0,1,0,0,1,0,0
325,0,0,0,1,0,1,0,1,0,1
326,0,0,1,0,1,0,1,1,1,1
327,1,1,0,0,1,1,1,0,1,0
328,0,0,0,1,0,0,1,0,1,1
329,0,0,1,1,0,0,0,1,0,0
330,0,1,1,1,0,1,0,0,1,0
331,0,0,1,1,1,1,1,1,0,0
332,0,1,0,0,1,0,1,0,1,0
333,1,1,0,0,0,1,0,0,1,0
334,0,0,1,1,0,1,1,1,1,1
335,0,0,0,1,1,0,1,1,0,0
336,1,1,1,0,1,0,0,0,0,0
337,0,1,1,1,0,0,1,0,1,0
338,1,1,0,1,0,1,0,1,1,0
339,0,0,0,0,1,0,1,1,1,1
340,1,0,0,1,1,1,0,0,0,0
341,0,0,0,0,1,1,1,0,0,0
342,0,1,0,1,1,0,0,1,1,1
343,0,1,1,0,1,0,1,0,0,1
344,0,1,1,1,1,1,0,0,0,1
345,0,1,1,0,1,0,1,0,1,0
346,0,1,1,0,0,0,0,1,0,1
347,1,1,1,0,0,1,1,0,1,1
348,0,0,1,1,1,0,1,0,0,0
349,1,0,0,0,0,1,0,1,1,0
350,0,1,1,0,1,0,1,1,0,0
351,0,0,1,1,1,0,1,0,0,0
352,0,1,1,0,0,0,1,0,0,0
353,0,0,0,1,1,1,0,0,0,1
354,0,1,0,1,1,1,1,0,0,0
355,0,0,1,0,0,0,0,1,0,1
356,1,0,1,0,0,1,1,0,1,1
357,1,0,0,1,0,1,1,1,1,0
358,0,1,1,0,0,1,1,0,1,0
359,1,0,1,0,0,0,0,1,0,0
360,0,1,0,0,1,1,0,1,0,1
361,1,1,1,1,1,0,1,1,0,0
362,0,0,1,1,0,1,0,1,0,1
363,0,1,0,0,1,1,0,1,0,1
364,1,1,0,0,0,0,1,1,0,1
365,0,0,1,0,0,1,1,0,0,0
366,1,0,1,0,1,0,0,0,0,0
367,1,1,0,1,1,0,1,1,0,0
368,0,0,0,1,1,1,1,1,0,0
369,0,0,1,1,0,0,1,1,0,1
370,1,1,0,1,1,1,1,0,0,1
371,0,0,1,0,0,1,0,1,1,0
372,0,0,1,1,1,1,1,1,1,1
373,1,1,1,1,0,0,0,0,0,1
374,1,1,1,0,0,1,1,0,1,0
375,1,0,1,0,0,0,0,0,1,1
376,1,1,1,0,0,1,0,1,1,0
377,0,1,1,1,1,1,1,1,1,1
378,0,1,1,0,1,1,0,1,0,0
379,1,1,0,0,0,0,1,1,1,0
380,1,1,0,0,0,0,0,1,1,0
381,0,0,0,1,1,0,1,1,1,0
382,1,1,1,1,0,0,0,1,0,1
383,1,1,1,0,0,1,1,0,1,1
384,0,1,1,1,0,0,1,1,0,1
385,1,1,1,0,1,1,1,0,0,0
386,1,1,1,1,0,1,1,0,1,0
387,0,0,1,1,0,1,0,0,1,0
388,0,1,1,1,1,1,1,1,1,1
389,1,1,0,0,1,1,0,1,0,1
390,0,0,0,1,0,0,1,1,1,1
391,1,0,0,1,1,1,0,0,1,0
392,1,0,1,1,0,0,1,0,0,1
393,1,0,1,1,1,1,0,0,0,0
394,0,1,0,0,1,1,1,1,1,0
395,1,0,1,1,0,0,0,1,1,1
396,0,1,0,1,1,1,0,1,1,1
397,1,1,1,0,0,1,0,0,1,1
398,1,0,0,1,1,1,1,0,1,1
399,0,0,1,0,1,1,0,0,0,1
400,1,1,0,0,1,1,0,1,0,0
401,1,0,1,0,0,1,1,0,1,1
402,1,0,0,1,0,1,1,0,1,0
403,1,1,0,1,1,1,1,0,1,1
404,1,1,0,1,0,1,1,1,1,1
405,0,1,1,1,1,1,0,0,1,0
406,0,1,1,1,1,0,0,1,0,0
407,0,1,0,0,0,1,0,1,0,1
408,1,1,0,1,0,1,0,0,1,1
409,0,1,0,0,1,0,0,1,1,0
410,0,1,1,0,1,0,0,0,0,1
411,1,1,1,0,0,1,0,1,0,0
412,1,1,0,1,1,0,0,0,1,1
413,0,0,1,0,0,1,0,0,0,0
414,1,1,0,0,0,0,0,1,1,1
415,0,0,0,1,0,1,1,1,0,0
416,1,0,0,1,0,0,0,0,0,1
417,0,1,1,0,1,0,0,1,0,1
418,0,1,0,1,1,1,1,1,1,1
419,1,0,1,0,1,1,1,0,0,1
420,0,0,1,0,0,0,0,0,1,0
421,0,1,1,0,0,1,1,0,0,0
422,1,0,1,0,0,1,1,1,0,0
423,1,0,1,0,1,1,1,1,1,0
424,0,1,0,0,1,0,0,0,0,1
425,0,1,0,1,0,0,1,1,1,0
426,0,1,0,1,1,1,1,1,0,0
427,0,0,0,1,0,1,0,0,0,1
428,1,1,1,1,1,1,0,1,1,1
429,1,0,1,1,0,1,0,0,0,1
430,1,0,0,0,1,1,0,1,1,1
431,1,1,1,0,1,1,0,0,0,1
432,1,1,1,1,0,0,0,1,1,1
433,0,0,1,1,1,1,1,1,0,1
434,1,1,1,0,1,1,1,0,1,1
435,1,1,1,1,1,1,1,0,1,0
436,1,0,0,0,1,1,1,0,0,1
437,1,1,1,0,0,1,1,1,0,0
438,0,0,1,1,0,0,1,0,1,1
439,0,1,1,0,0,0,1,0,0,1
440,0,0,0,0,1,1,0,1,1,1
441,1,1,0,0,0,1,1,0,1,0
442,1,0,0,1,1,0,0,0,1,0
443,0,0,0,1,0,0,0,1,0,1
444,0,1,1,1,0,0,1,0,0,0
445,0,1,0,0,1,0,0,1,1,1
446,0,1,0,1,0,0,0,0,1,0
447,0,1,1,1,1,0,1,0,0,1
448,0,1,1,1,0,1,1,1,1,0
449,1,0,0,1,0,1,0,1,1,0
450,0,0,0,0,1,0,0,0,1,0
451,1,0,1,1,1,0,1,0,0,1
452,0,0,1,0,1,1,1,1,0,0
453,1,1,1,1,0,0,1,0,1,1
454,0,0,0,0,0,0,0,0,0,0
455,0,0,0,0,0,1,1,1,0,0
456,0,1,0,1,1,1,0,1,1,1
457,1,0,1,1,0,0,0,0,1,1
458,0,1,1,0,0,1,1,1,0,1
459,1,0,0,1,1,0,0,0,1,1
460,1,0,0,1,1,1,1,0,1,1
461,1,1,0,0,1,0,0,1,0,1
462,1,0,1,1,1,1,1,1,0,0
463,0,1,0,1,0,0,0,1,1,1
464,0,0,0,0,0,0,1,0,1,1
465,0,0,0,1,0,0,1,1,0,1
466,0,0,0,1,1,0,0,0,0,1
467,0,1,0,0,1,0,0,1,0,0
468,1,1,0,1,0,1,1,0,0,1
469,0,0,1,1,1,1,0,0,1,0
470,1,1,0,1,0,0,1,1,1,1
471,0,1,0,1,0,0,1,1,1,1
472,1,1,0,1,1,0,0,1,1,1
473,1,0,0,0,1,1,0,0,0,1
474,0,1,0,0,0,1,0,0,1,1
475,0,1,0,0,0,0,1,1,0,0
476,0,0,1,0,1,1,1,1,0,0
477,0,0,0,1,0,0,1,1,0,1
478,1,0,1,1,0,0,0,1,0,0
479,0,1,1,1,1,1,1,0,0,1
480,0,1,0,0,0,1,1,1,1,1
481,1,0,0,1,0,1,1,1,0,0
482,0,1,0,0,0,0,0,1,1,1
483,1,0,0,1,1,0,1,1,0,1
484,1,1,1,0,0,0,1,0,1,0
485,0,0,0,0,0,0,0,0,0,0
486,0,1,0,1,1,0,0,1,0,1
487,0,1,0,0,0,1,0,0,1,0
488,1,1,0,1,0,1,0,1,0,0
489,0,1,0,0,1,1,1,0,0,1
490,1,0,1,0,1,0,1,1,1,0
491,1,1,0,1,0,1,1,1,1,1
492,1,0,0,0,1,1,1,0,0,0
493,1,1,0,0,1,0,1,1,1,1
494,1,0,1,0,1,1,0,0,1,1
495,1,1,1,1,0,0,1,1,0,1
496,1,0,1,1,0,1,0,1,1,0
497,1,1,0,0,0,1,1,1,0,1
498,1,1,1,0,1,0,1,0,0,0
499,1,0,1,0,1,1,1,0,1,0
500,0,0,1,0,1,0,0,0,1,0
501,1,1,1,1,0,0,0,1,0,0
502,1,1,0,0,0,0,0,0,0,0
503,1,1,0,1,1,0,0,1,1,1
504,1,1,0,0,0,0,1,0,0,0
505,1,0,0,1,1,0,0,1,1,0
506,0,1,0,1,0,1,1,0,1,1
507,0,0,0,0,1,1,1,1,0,1
508,1,1,0,0,1,1,0,0,0,1
509,0,1,0,0,0,0,0,0,1,0
510,1,0,1,1,1,1,0,0,0,0
511,1,0,1,1,0,1,0,1,1,1
512,1,1,1,1,1,0,0,0,1,0
513,1,1,0,0,0,0,1,1,1,1
514,0,1,1,1,0,0,0,1,0,1
515,0,0,0,0,0,1,1,0,1,0
516,0,0,0,0,0,0,1,0,1,1
517,0,0,1,0,0,1,0,0,1,1
518,1,1,1,0,1,0,1,1,1,1
519,1,1,1,0,1,0,0,0,0,1
520,0,1,1,0,1,1,0,0,0,1
521,0,0,0,0,1,0,1,1,0,0
522,0,1,1,1,1,0,0,1,0,0
523,1,0,1,1,1,1,0,0,1,1
524,1,1,1,0,1,0,1,1,1,0
525,0,0,1,0,1,1,0,0,0,0
526,1,1,0,1,1,1,1,1,1,0
527,1,1,1,1,0,1,0,1,0,0
528,1,0,1,0,1,1,0,0,1,0
529,1,0,0,0,0,1,0,0,1,1
530,1,0,0,0,1,1,0,0,0,1
531,0,1,1,1,0,0,1,1,1,0
532,0,1,1,1,1,1,0,1,0,1
533,1,0,1,0,1,0,0,0,0,0
534,0,0,0,1,1,0,0,0,0,0
535,0,1,0,1,0,1,0,1,1,1
536,1,1,1,1,1,0,0,0,0,0
537,1,1,0,1,0,0,1,0,0,1
538,1,1,1,0,1,1,0,1,1,0
539,0,1,1,1,0,1,0,1,1,1
540,0,1,0,0,0,1,1,0,0,0
541,1,1,0,0,1,1,1,0,0,0
542,1,1,0,1,1,1,0,1,1,0
543,0,1,1,0,0,0,0,0,1,0
544,1,0,0,1,0,0,0,1,0,0
545,0,1,0,0,0,0,0,1,1,1
546,1,0,0,1,1,0,1,1,1,0
547,1,1,0,1,0,1,0,0,0,0
548,1,0,1,1,0,1,0,0,0,0
549,0,1,0,1,0,0,1,0,1,0
550,0,0,0,0,1,1,0,1,1,0
551,1,0,0,0,1,0,1,0,0,1
552,0,1,1,0,0,1,0,0,1,1
553,1,0,1,1,0,0,1,0,1,1
554,1,1,1,1,0,0,1,1,1,1
555,1,1,0,0,0,1,1,0,1,1
556,0,1,0,0,1,1,0,1,1,0
557,1,0,0,1,1,0,0,0,1,1
558,0,0,0,1,1,0,0,1,1,1
559,1,0,0,1,1,1,0,1,0,1
560,0,0,1,0,1,0,0,1,0,1
561,1,1,0,0,0,1,0,0,0,1
562,1,0,1,1,0,0,1,0,0,1
563,1,1,0,0,0,1,1,0,0,1
564,1,1,0,1,1,1,0,1,1,1
565,1,0,0,1,0,0,0,0,1,0
566,0,0,1,0,1,0,0,1,0,1
567,1,0,0,1,0,0,0,1,0,1
568,0,1,1,0,0,1,1,1,0,0
569,0,1,0,1,0,0,0,0,1,1
570,0,0,0,0,0,1,1,1,1,0
571,0,1,0,1,0,0,0,1,0,0
572,1,0,0,1,1,1,0,0,1,1
573,0,0,1,1,1,0,1,0,0,1
574,1,1,0,1,1,0,1,1,1,0
575,1,1,1,0,1,0,0,1,0,1
576,0,1,0,0,1,0,0,0,0,0
577,1,1,0,0,1,1,0,1,0,1
578,0,0,0,1,1,1,1,1,0,0
579,1,0,1,1,0,0,1,0,0,0
580,0,1,1,1,0,0,0,1,1,1
581,1,0,1,0,0,0,0,0,0,0
582,0,1,0,0,1,1,1,1,1,0
583,0,1,1,0,1,1,1,1,1,0
584,0,1,0,0,0,0,0,0,0,0
585,1,1,0,1,1,0,0,1,0,0
586,1,1,1,0,0,1,0,0,1,1
587,1,1,1,0,1,1,0,1,0,0
588,1,1,0,0,0,0,1,0,0,0
589,0,0,1,1,0,0,1,0,0,0
590,0,1,0,1,1,0,1,1,1,1
591,0,1,1,1,1,0,1,0,1,0
592,0,1,1,1,1,0,1,0,1,1
593,1,1,1,0,0,1,1,0,0,1
594,1,0,1,1,0,0,0,0,1,0
595,0,1,0,1,0,1,0,1,1,1
596,0,0,1,1,0,1,0,0,0,0
597,1,1,0,0,1,0,0,1,1,0
598,0,0,0,0,0,0,1,0,0,1
599,0,0,0,0,0,1,1,1,1,1
600,0,1,0,0,1,1,0,1,0,0
601,0,0,0,0,0,0,0,0,1,1
602,0,0,0,1,1,0,1,1,0,0
603,0,0,0,1,1,1,0,0,0,0
604,1,1,1,0,0,0,1,1,1,1
605,0,0,1,1,0,0,1,0,1,1
606,1,1,1,1,0,0,0,0,1,0
607,1,1,0,1,0,0,1,1,1,1
608,0,1,1,1,0,1,0,1,0,0
609,0,1,1,0,1,0,1,1,0,0
610,0,0,0,1,1,1,0,0,0,1
611,0,0,1,0,1,0,1,0,1,1
612,0,1,0,1,0,1,0,1,1,1
613,0,1,1,0,0,1,1,0,1,0
614,1,1,1,0,0,1,1,1,0,1
615,0,0,1,0,1,0,0,1,0,1
616,0,1,0,1,0,0,0,1,1,1
617,1,0,1,0,1,0,1,0,0,1
618,1,0,0,0,1,1,1,0,0,0
619,0,0,0,0,0,0,0,0,1,0
620,0,0,1,1,0,0,1,1,0,0
621,1,0,0,0,0,0,1,0,1,1
622,0,1,0,0,1,1,1,1,1,0
623,1,1,1,1,1,1,0,0,0,1
624,1,0,0,0,0,0,1,1,0,1
625,0,0,0,1,0,1,0,0,1,0
626,1,0,1,1,1,0,0,1,1,1
627,1,0,1,1,1,1,0,1,1,1
628,0,0,1,0,0,0,0,1,1,0
629,1,1,0,1,1,1,0,0,0,0
630,1,0,1,0,0,1,0,0,0,0
631,1,1,0,1,1,0,1,1,0,0
632,0,1,0,1,1,0,0,0,1,1
